mag,totalSamplesMag,gMedianOfSD,gSDofSD,gMeanOfSD,gUsedSamplesMag,gMeanSamplesLC,rMedianOfSD,rSDofSD,rMeanOfSD,rUsedSamplesMag,rMeanSamplesLC
13.75,183.0,0.015987179200642798,0.006297914070383928,0.01728055439768548,174.0,274.5919540229885,0.015261958603747433,0.007781521238269848,0.017305442335849002,159.0,333.28930817610063
13.75,183.0,0.015987179200642798,0.006297914070383928,0.01728055439768548,174.0,274.5919540229885,0.015261958603747433,0.007781521238269848,0.017305442335849002,159.0,333.28930817610063
14.0,197.0,0.017343038806579142,0.00502975633418946,0.01872039648288002,174.0,150.80459770114942,0.014963776464816314,0.003986463384932989,0.01544965112822103,190.0,351.7421052631579
14.0,197.0,0.017343038806579142,0.00502975633418946,0.01872039648288002,174.0,150.80459770114942,0.014963776464816314,0.003986463384932989,0.01544965112822103,190.0,351.7421052631579
14.25,185.0,0.01663688462571726,0.005156237467623098,0.017527147393961794,178.0,280.9269662921348,0.013918798934378319,0.0032714914675809285,0.014584754183266574,177.0,296.271186440678
14.25,185.0,0.01663688462571726,0.005156237467623098,0.017527147393961794,178.0,280.9269662921348,0.013918798934378319,0.0032714914675809285,0.014584754183266574,177.0,296.271186440678
14.5,181.0,0.01721252245051179,0.004006833444280655,0.017943342646143046,175.0,382.6114285714286,0.015258728265344353,0.003890937487748241,0.015443268163380448,171.0,382.42105263157896
14.5,181.0,0.01721252245051179,0.004006833444280655,0.017943342646143046,175.0,382.6114285714286,0.015258728265344353,0.003890937487748241,0.015443268163380448,171.0,382.42105263157896
14.75,188.0,0.01692215980634997,0.0041750581973763615,0.01745012032106183,185.0,362.0648648648649,0.014730401010188986,0.004002073847643732,0.015468226997236812,181.0,367.78453038674036
14.75,188.0,0.01692215980634997,0.0041750581973763615,0.01745012032106183,185.0,362.0648648648649,0.014730401010188986,0.004002073847643732,0.015468226997236812,181.0,367.78453038674036
15.0,187.0,0.017305160822186146,0.006599302111409744,0.018463226166312213,177.0,312.1242937853107,0.01511629127205825,0.005037078356323707,0.016291411953680397,181.0,331.98342541436466
15.0,187.0,0.017305160822186146,0.006599302111409744,0.018463226166312213,177.0,312.1242937853107,0.01511629127205825,0.005037078356323707,0.016291411953680397,181.0,331.98342541436466
15.25,198.0,0.017191122070126554,0.005051225921192747,0.0180664453974301,194.0,210.04123711340208,0.014785311442508301,0.006983074050061373,0.016346454423151104,193.0,242.279792746114
15.25,198.0,0.017191122070126554,0.005051225921192747,0.0180664453974301,194.0,210.04123711340208,0.014785311442508301,0.006983074050061373,0.016346454423151104,193.0,242.279792746114
15.5,193.0,0.018166171522155276,0.0066610087849559435,0.01856387691612611,186.0,211.28494623655914,0.0154981162882998,0.005675390676922674,0.016462273714627215,182.0,246.5989010989011
15.5,193.0,0.018166171522155276,0.0066610087849559435,0.01856387691612611,186.0,211.28494623655914,0.0154981162882998,0.005675390676922674,0.016462273714627215,182.0,246.5989010989011
15.75,198.0,0.017925484472483256,0.006345546791506197,0.01905051746691742,192.0,166.68229166666666,0.015026722104090392,0.005726035029405369,0.016335154180665168,194.0,206.65463917525773
15.75,198.0,0.017925484472483256,0.006345546791506197,0.01905051746691742,192.0,166.68229166666666,0.015026722104090392,0.005726035029405369,0.016335154180665168,194.0,206.65463917525773
16.0,196.0,0.017399849959141775,0.00470886326568938,0.01790374871060368,191.0,154.93193717277487,0.014890801026292257,0.003456857200085758,0.01538349860258932,187.0,202.48128342245988
16.0,196.0,0.017399849959141775,0.00470886326568938,0.01790374871060368,191.0,154.93193717277487,0.014890801026292257,0.003456857200085758,0.01538349860258932,187.0,202.48128342245988
16.25,193.0,0.018402764087107393,0.004564103520546349,0.019053623890975497,181.0,173.53591160220995,0.01491031668553707,0.004002400733557459,0.015655068397391333,189.0,195.37037037037038
16.25,193.0,0.018402764087107393,0.004564103520546349,0.019053623890975497,181.0,173.53591160220995,0.01491031668553707,0.004002400733557459,0.015655068397391333,189.0,195.37037037037038
16.5,194.0,0.01933790011218045,0.006470911858929708,0.020394731604273967,187.0,160.53475935828877,0.015250212424964014,0.005458082043620483,0.01619556827793867,189.0,205.7089947089947
16.5,194.0,0.01933790011218045,0.006470911858929708,0.020394731604273967,187.0,160.53475935828877,0.015250212424964014,0.005458082043620483,0.01619556827793867,189.0,205.7089947089947
16.75,191.0,0.020735288506422624,0.005181925647227828,0.021125696522848438,184.0,165.5108695652174,0.016124166287995092,0.0033345327037316995,0.016441735690663005,185.0,193.83783783783784
16.75,191.0,0.020735288506422624,0.005181925647227828,0.021125696522848438,184.0,165.5108695652174,0.016124166287995092,0.0033345327037316995,0.016441735690663005,185.0,193.83783783783784
17.0,193.0,0.02237690675415969,0.005725424387637684,0.02277298180787332,183.0,141.9344262295082,0.016801850572913876,0.004928906625983391,0.01779463307940927,190.0,161.77894736842106
17.0,193.0,0.02237690675415969,0.005725424387637684,0.02277298180787332,183.0,141.9344262295082,0.016801850572913876,0.004928906625983391,0.01779463307940927,190.0,161.77894736842106
17.25,189.0,0.025025206429192395,0.006276692842695085,0.025351371294074374,183.0,152.13661202185793,0.018257883938804446,0.005221345539859648,0.01912000966198993,184.0,183.04891304347825
17.25,189.0,0.025025206429192395,0.006276692842695085,0.025351371294074374,183.0,152.13661202185793,0.018257883938804446,0.005221345539859648,0.01912000966198993,184.0,183.04891304347825
17.5,199.0,0.026487313355874665,0.007165090321564488,0.027114096207509614,190.0,161.57368421052632,0.01877973878340122,0.010842105392076293,0.021674419397378453,195.0,201.4820512820513
17.5,199.0,0.026487313355874665,0.007165090321564488,0.027114096207509614,190.0,161.57368421052632,0.01877973878340122,0.010842105392076293,0.021674419397378453,195.0,201.4820512820513
17.75,194.0,0.03030739241231515,0.007061799321493416,0.030890727063381848,187.0,147.64705882352942,0.020181891232672985,0.004975132483495031,0.02112723938249241,189.0,175.5026455026455
17.75,194.0,0.03030739241231515,0.007061799321493416,0.030890727063381848,187.0,147.64705882352942,0.020181891232672985,0.004975132483495031,0.02112723938249241,189.0,175.5026455026455
18.0,198.0,0.034993528139680694,0.011899859099491216,0.03612103338365508,188.0,155.29787234042553,0.02205254370864129,0.008512071729917366,0.023701297028705545,191.0,207.3455497382199
18.0,198.0,0.034993528139680694,0.011899859099491216,0.03612103338365508,188.0,155.29787234042553,0.02205254370864129,0.008512071729917366,0.023701297028705545,191.0,207.3455497382199
18.25,197.0,0.043489089750320745,0.010952825448704483,0.04330743989671323,187.0,150.6524064171123,0.02601944100269059,0.012388259368809783,0.028349061219643645,195.0,184.44102564102565
18.25,197.0,0.043489089750320745,0.010952825448704483,0.04330743989671323,187.0,150.6524064171123,0.02601944100269059,0.012388259368809783,0.028349061219643645,195.0,184.44102564102565
18.5,198.0,0.04954662519213551,0.01413281084468052,0.04974993119862774,191.0,139.17277486910996,0.027745182274938114,0.009114376649522806,0.02892773154918909,193.0,180.40414507772022
18.5,198.0,0.04954662519213551,0.01413281084468052,0.04974993119862774,191.0,139.17277486910996,0.027745182274938114,0.009114376649522806,0.02892773154918909,193.0,180.40414507772022
18.75,199.0,0.05888406011757965,0.012306052193359418,0.0578294771226301,190.0,130.45263157894738,0.03263000363772636,0.011754328212152188,0.03455771223299025,195.0,176.77948717948718
18.75,199.0,0.05888406011757965,0.012306052193359418,0.0578294771226301,190.0,130.45263157894738,0.03263000363772636,0.011754328212152188,0.03455771223299025,195.0,176.77948717948718
19.0,199.0,0.06863817272011101,0.016398186662137288,0.06859068699473342,192.0,128.02083333333334,0.03874917992946992,0.013359372097099488,0.04081995789509744,192.0,170.76041666666666
19.0,199.0,0.06863817272011101,0.016398186662137288,0.06859068699473342,192.0,128.02083333333334,0.03874917992946992,0.013359372097099488,0.04081995789509744,192.0,170.76041666666666
19.25,198.0,0.07884381014586114,0.018938728443521336,0.0784050848526879,193.0,123.4041450777202,0.043104178190427826,0.014148288837097263,0.04543082831731814,193.0,179.10880829015545
19.25,198.0,0.07884381014586114,0.018938728443521336,0.0784050848526879,193.0,123.4041450777202,0.043104178190427826,0.014148288837097263,0.04543082831731814,193.0,179.10880829015545
19.5,194.0,0.09497326181845202,0.02060967551302135,0.09525324583420323,189.0,123.5079365079365,0.052291297828954475,0.02043193223718764,0.0566533302632537,190.0,170.01052631578946
19.5,194.0,0.09497326181845202,0.02060967551302135,0.09525324583420323,189.0,123.5079365079365,0.052291297828954475,0.02043193223718764,0.0566533302632537,190.0,170.01052631578946
19.75,193.0,0.10657854579623373,0.022713446926886253,0.10480901005805801,190.0,110.4421052631579,0.05859009109774618,0.020334003781194064,0.06231356113841935,189.0,174.08465608465607
19.75,193.0,0.10657854579623373,0.022713446926886253,0.10480901005805801,190.0,110.4421052631579,0.05859009109774618,0.020334003781194064,0.06231356113841935,189.0,174.08465608465607
20.0,196.0,0.12562205688246125,0.02601426951732162,0.12879857505702788,187.0,120.93048128342247,0.06888132267496558,0.028592718118132306,0.0758431509999324,192.0,199.84895833333334
20.0,196.0,0.12562205688246125,0.02601426951732162,0.12879857505702788,187.0,120.93048128342247,0.06888132267496558,0.028592718118132306,0.0758431509999324,192.0,199.84895833333334
20.25,197.0,0.14304302882133418,0.030743906410497197,0.14621487101080913,189.0,107.41269841269842,0.08244062619843188,0.03390258596758493,0.08819358309070717,196.0,180.0969387755102
20.25,197.0,0.14304302882133418,0.030743906410497197,0.14621487101080913,189.0,107.41269841269842,0.08244062619843188,0.03390258596758493,0.08819358309070717,196.0,180.0969387755102
20.5,193.0,0.1636604118346243,0.03234393496615341,0.16565611117133974,185.0,89.41081081081082,0.09104751557521083,0.036962498024202116,0.09922113933482693,190.0,165.52105263157895
20.5,193.0,0.1636604118346243,0.03234393496615341,0.16565611117133974,185.0,89.41081081081082,0.09104751557521083,0.036962498024202116,0.09922113933482693,190.0,165.52105263157895
20.75,197.0,0.18626530148719175,0.03280688197116262,0.18654687448298382,191.0,81.59162303664921,0.1096402131083739,0.0407558204902862,0.11633121140081845,194.0,159.89690721649484
20.75,197.0,0.18626530148719175,0.03280688197116262,0.18654687448298382,191.0,81.59162303664921,0.1096402131083739,0.0407558204902862,0.11633121140081845,194.0,159.89690721649484
21.0,190.0,0.20717875238129307,0.046497011897199736,0.20745215722541413,178.0,73.82584269662921,0.1097951875802229,0.04700463053319207,0.12176382305880512,184.0,169.2663043478261
21.0,190.0,0.20717875238129307,0.046497011897199736,0.20745215722541413,178.0,73.82584269662921,0.1097951875802229,0.04700463053319207,0.12176382305880512,184.0,169.2663043478261
21.25,190.0,0.22370298327835478,0.0578210485296876,0.22629364113533637,177.0,57.96045197740113,0.12560804294655842,0.04657269502950821,0.13504259350526057,187.0,165.98930481283423
21.25,190.0,0.22370298327835478,0.0578210485296876,0.22629364113533637,177.0,57.96045197740113,0.12560804294655842,0.04657269502950821,0.13504259350526057,187.0,165.98930481283423
21.5,195.0,0.24356057552872987,0.07172175548317018,0.24971683785592264,178.0,39.657303370786515,0.14176002656339573,0.05321163289796351,0.15372932496812972,191.0,140.84816753926702
21.5,195.0,0.24356057552872987,0.07172175548317018,0.24971683785592264,178.0,39.657303370786515,0.14176002656339573,0.05321163289796351,0.15372932496812972,191.0,140.84816753926702
21.75,191.0,0.2496580357934245,0.07206039404123539,0.2526879391361197,169.0,26.29585798816568,0.15123923617970145,0.05430215241114484,0.16750223715621146,185.0,133.5027027027027
21.75,191.0,0.2496580357934245,0.07206039404123539,0.2526879391361197,169.0,26.29585798816568,0.15123923617970145,0.05430215241114484,0.16750223715621146,185.0,133.5027027027027
22.0,189.0,0.2604814693550472,0.09996783901626134,0.27206957136182985,145.0,17.882758620689657,0.18439877058977175,0.06700692889477819,0.20054939909625277,182.0,114.29120879120879
22.0,189.0,0.2604814693550472,0.09996783901626134,0.27206957136182985,145.0,17.882758620689657,0.18439877058977175,0.06700692889477819,0.20054939909625277,182.0,114.29120879120879
22.25,170.0,0.2531902247718388,0.13437366348511798,0.2956230155095635,104.0,11.10576923076923,0.21262629924772775,0.063339302246698,0.22018819777891974,162.0,88.37654320987654
22.25,170.0,0.2531902247718388,0.13437366348511798,0.2956230155095635,104.0,11.10576923076923,0.21262629924772775,0.063339302246698,0.22018819777891974,162.0,88.37654320987654
22.5,174.0,0.2551681682613176,0.1928901089179238,0.3029383695923942,90.0,9.177777777777777,0.2398758066394776,0.06645982996333036,0.24186833164140265,161.0,79.5776397515528
22.5,174.0,0.2551681682613176,0.1928901089179238,0.3029383695923942,90.0,9.177777777777777,0.2398758066394776,0.06645982996333036,0.24186833164140265,161.0,79.5776397515528
22.75,127.0,0.26484835034514864,0.13295518571750944,0.26739318713355026,24.0,9.375,0.25777267230172296,0.08363081410495916,0.2642168363214346,118.0,43.30508474576271
